lon,lat,time,elevation,distance_m,place_name,elevation_diff,slope
3.8202,45.00204,,889.0,8282.781789388231,Chemin de Saint-Jacques,6.0,0.1015848238117557
3.82017,45.00169,,889.0,8321.77142599449,Chemin de Saint-Jacques,0.0,0.0
3.82003,45.00102,,897.0,8397.080814858044,Chemin de Saint-Jacques,8.0,0.1062284546551619
3.8198,45.00055,,898.0,8452.382745570234,Chemin de Saint-Jacques,1.0,0.0180825513164148
3.82014,44.99998,,906.0,8521.170938460831,Chemin de Saint-Jacques,8.0,0.116299028420814
3.82022,44.9998,,906.0,8542.15115888036,Chemin de Saint-Jacques,0.0,0.0
3.82029,44.99953,,906.0,8572.674121411801,Chemin de Saint-Jacques,0.0,0.0
3.82035,44.99898,,908.0,8634.013021243261,Chemin de Saint-Jacques,2.0,0.0326057364167821
3.82032,44.99875,,908.0,8659.696405955105,Chemin de Saint-Jacques,0.0,0.0
3.82031,44.99828,,910.0,8711.963936073707,Chemin de Saint-Jacques,2.0,0.0382646739852008
3.82045,44.99793,,910.0,8752.409040284661,Chemin de Saint-Jacques,0.0,0.0
3.82017,44.99774,,910.0,8782.92246848499,Chemin de Saint-Jacques,0.0,0.0
3.81991,44.99773,,907.0,8803.396432651873,Chemin de Saint-Jacques,-3.0,-0.1465275593698991
3.82003,44.99751,,910.0,8829.615950705773,Chemin de Saint-Jacques,3.0,0.1144185790842081
3.82003,44.99731,,914.0,8851.854936034633,Chemin de Saint-Jacques,4.0,0.1798643211841605
3.81948,44.99653,,913.0,8948.771139274533,Chemin de Saint-Jacques,-1.0,-0.0103181920728432
3.81942,44.9963,,913.0,8974.77749687643,Chemin de Saint-Jacques,0.0,0.0
3.81908,44.99635,,910.0,9002.084266616663,Chemin de Saint-Jacques,-3.0,-0.1098628665542921
3.81836,44.99642,,910.0,9059.231612414958,Chemin de Saint-Jacques,0.0,0.0
3.8181,44.99658,,903.0,9086.333110038908,Chemin de Saint-Jacques,-7.0,-0.2582883092709294
3.81799,44.99688,,903.0,9120.794692682968,Chemin de Saint-Jacques,0.0,0.0
3.8178,44.99708,,903.0,9147.58595658694,Chemin de Saint-Jacques,0.0,0.0
3.81749,44.99708,,904.0,9171.961471622142,Chemin de Saint-Jacques,1.0,0.0410247741865513
3.81703,44.99705,,904.0,9208.285101397552,Chemin de Saint-Jacques,0.0,0.0
3.81679,44.99691,,904.0,9232.748752501291,Chemin de Saint-Jacques,0.0,0.0
3.81659,44.99651,,905.0,9279.925065488476,Chemin de Saint-Jacques,1.0,0.0211970782937546
3.81631,44.99627,,905.0,9314.52169031888,Chemin de Saint-Jacques,0.0,0.0
3.81574,44.99603,,908.0,9366.685247772582,Chemin de Saint-Jacques,3.0,0.0575114149885713
3.81541,44.99592,,908.0,9395.372170463805,Chemin de Saint-Jacques,0.0,0.0
3.81479,44.99587,,911.0,9444.44020497895,Chemin de Saint-Jacques,3.0,0.0611395999380012
3.81446,44.99581,,913.0,9471.232854278653,Chemin de Saint-Jacques,2.0,0.0746473399337245
3.81415,44.99569,,916.0,9499.022050086443,Chemin de Saint-Jacques,3.0,0.1079556249396373
3.81354,44.99536,,916.0,9559.41421079232,Chemin de Saint-Jacques,0.0,0.0
3.81315,44.99522,,921.0,9593.806084990903,Chemin de Saint-Jacques,5.0,0.1453831789197945
3.81282,44.99516,,921.0,9620.599019353624,Chemin de Saint-Jacques,0.0,0.0
3.81205,44.99432,,928.0,9731.910885519224,Chemin de Saint-Jacques,7.0,0.06288637717731
3.81152,44.99408,,929.0,9781.399303525955,Chemin de Saint-Jacques,1.0,0.0202067481701263
3.81107,44.99387,,929.0,9823.795246659887,Chemin de Saint-Jacques,0.0,0.0
3.81076,44.99378,,928.0,9850.14641666953,Chemin de Saint-Jacques,-1.0,-0.0379489791016547
3.81029,44.99372,,928.0,9887.702344120846,Chemin de Saint-Jacques,0.0,0.0
3.80924,44.99333,,927.0,9980.965301162832,Chemin de Saint-Jacques,-1.0,-0.0107223707216339
3.80809,44.99308,,928.0,10075.572963880935,Chemin de Saint-Jacques,1.0,0.010569968343681
3.80754,44.99301,,928.0,10119.51771656366,Chemin de Saint-Jacques,0.0,0.0
3.8067,44.99298,,929.0,10185.656386665672,Chemin de Saint-Jacques,1.0,0.0151197476220434
3.80626,44.99272,,929.0,10230.745094359914,Chemin de Saint-Jacques,0.0,0.0
3.80597,44.99254,,929.0,10261.087420608172,Chemin de Saint-Jacques,0.0,0.0
3.80556,44.99232,,930.0,10301.55873999275,Route de Liac,1.0,0.0247088559307285
3.80508,44.99196,,930.0,10356.578502850756,Route de Liac,0.0,0.0
3.80477,44.99177,,931.0,10388.837230904055,Route de Liac,1.0,0.0309993623538959
3.80448,44.99147,,931.0,10429.245886497223,Route de Liac,0.0,0.0
