lon,lat,time,elevation,distance_m,place_name,elevation_diff,slope
0.42846,43.96398,,129.0,496936.0524158773,Lieu inconnu,0.0,0.0
0.42801,43.96415,,136.0,496976.727650546,Lieu inconnu,7.0,0.17209488911404466
0.42697,43.96457,,130.0,497072.1706041965,Lieu inconnu,-6.0,-0.0628647770266189
0.4267,43.96464,,130.0,497095.1390442028,Lieu inconnu,0.0,0.0
0.4256,43.96486,,141.0,497186.5124663886,Lieu inconnu,11.0,0.12038511568096442
0.42516,43.96485,,141.0,497221.74511009484,Lieu inconnu,0.0,0.0
0.42484,43.96477,,135.0,497248.8570024139,Lieu inconnu,-6.0,-0.22130509849302532
0.42416,43.96464,,129.0,497305.1674821921,Lieu inconnu,-6.0,-0.10655210226642939
0.42343,43.96444,,129.0,497367.68223229423,Lieu inconnu,0.0,0.0
0.42212,43.96405,,130.0,497481.1427891227,Lieu inconnu,1.0,0.008813635574799425
0.42079,43.96355,,139.0,497601.23504789063,Lieu inconnu,9.0,0.07494238256765891
0.42013,43.96351,,139.0,497654.2457879344,Lieu inconnu,0.0,0.0
0.41958,43.96334,,148.0,497702.1528066814,Lieu inconnu,9.0,0.18786391295873425
0.41884,43.9633,,147.0,497761.5464947128,Lieu inconnu,-1.0,-0.016836805949330635
0.41672,43.96318,,147.0,497931.74767879833,Lieu inconnu,0.0,0.0
0.41645,43.96319,,149.0,497953.3861367949,Lieu inconnu,2.0,0.09242802792669488
0.41577,43.96331,,148.0,498009.4227716492,Lieu inconnu,-1.0,-0.017845468461847345
0.41535,43.9634,,157.0,498044.49607091007,Lieu inconnu,9.0,0.2566054574181855
0.41463,43.96369,,155.0,498110.5308404089,Lieu inconnu,-2.0,-0.030287074751374796
0.41438,43.96372,,155.0,498130.8159696794,Lieu inconnu,0.0,0.0
0.41354,43.96349,,153.0,498202.74632232956,Lieu inconnu,-2.0,-0.027804673914595703
0.41329,43.96343,,157.0,498223.83834483527,Lieu inconnu,4.0,0.18964516081461738
0.41209,43.9632,,164.0,498323.2287623425,Lieu inconnu,7.0,0.0704293248339786
0.41166,43.9631,,169.0,498359.3962352614,Lieu inconnu,5.0,0.13824576605637415
0.41141,43.96308,,169.0,498379.52861224394,Lieu inconnu,0.0,0.0
0.41107,43.96307,,169.0,498406.7637987348,Lieu inconnu,0.0,0.0
0.41078,43.96302,,173.0,498430.63104128296,Lieu inconnu,4.0,0.1675937214753869
0.40921,43.96261,,174.0,498564.3038360947,Lieu inconnu,1.0,0.007480953782768769
0.40795,43.96231,,179.0,498670.52512890456,Lieu inconnu,5.0,0.04707154156887838
0.40748,43.96217,,175.0,498711.2367697078,Lieu inconnu,-4.0,-0.09825199675272529
0.40638,43.96194,,172.0,498802.9179833252,Lieu inconnu,-3.0,-0.03272207992926471
0.40519,43.96157,,162.0,498906.6697763289,Lieu inconnu,-10.0,-0.0963838764660525
0.40492,43.96153,,158.0,498928.7332084383,Lieu inconnu,-4.0,-0.18129545667063965
0.40411,43.96143,,157.0,498994.5113374854,Lieu inconnu,-1.0,-0.015202621517014469
0.40369,43.96136,,157.0,499029.01706288685,Lieu inconnu,0.0,0.0
0.40269,43.96112,,154.0,499113.3879901738,Lieu inconnu,-3.0,-0.03555727187631784
0.40181,43.9609,,152.0,499187.9499498068,Lieu inconnu,-2.0,-0.026823329347097948
0.40076,43.9607,,146.0,499274.8843427368,Lieu inconnu,-6.0,-0.0690175636796664
0.40026,43.96061,,146.0,499316.1366119926,Lieu inconnu,0.0,0.0
0.39955,43.96049,,143.0,499374.51059002575,Lieu inconnu,-3.0,-0.05139276268437536
0.3979,43.96013,,136.0,499512.5106922722,Lieu inconnu,-7.0,-0.05072460009846838
0.39747,43.96007,,134.0,499547.5688742076,Lieu inconnu,-2.0,-0.05704802387315601
